PM ID,Property Name
4479405,OMAO Ship and Aviation
4402738,NOAA-NMAO-OMAO Pier/Storage Bldg New Castle NH-AL
2414390,NOAA-NMFS-NW-FSC-LIBRARY-AO
4443430,NOAA - NOS Office Santa Barbara CA
4429415,NOAA - OAR ESRL GMD Observatory Bldg Barrow AK
4302238,WRC - Research I - Building #3
4201039,NESDIS - WCDAS MAIN OPERATIONS AND ADMINISTRATION - AO
4296559,Main Facility Bldg 176
4279563,NOAA - NMAO -  AOC MACDILL CAMPUS
1940408,NOAA - OAR - AOML
2314742,NOAA-NMFS-SW-SWFSC Pacific Grove laboratory
2337211,NOAA-NWS-Central-ASOS-Bismarck-Hettinger-FAA - AO
2337218,NOAA-NWS-Central-ASOS-Cheyenne-Alliance-FAA - AO
2337223,NOAA-NWS-Central-ASOS-Goodland-Burlington-FAA - AL
2337227,NOAA-NWS-Central-ASOS-Chicago-Rockford-FAA - AO
2337229,NOAA-NWS-Central-ASOS-St Louis-St Charles-FAA - AO
2337231,NOAA-NWS-Central-ASOS-Lake Yellowstone-NWS - AO
2338357,NOAA - NWS - Western -OT.ASOS- P68 - AO
2338359,NOAA - NWS - Western -OT.ASOS- MEH - AO
2338369,NOAA - NWS - Southern - ASOS - LBB - AO
2338373,NOAA - NWS - Southern - ASOS - BVE - AO
2338379,NOAA - NWS - Southern - ASOS - 6R6 - AO
2338385,NOAA - NWS - Eastern - ASOS - ORF - AO
2338412,NOAA - NWS - Western -OT.ASOS- Alturas
2338414,NOAA - NWS - Western - ASOS - FLG - AO
2338416,NOAA - NWS - Western - ASOS - ELY - AO
2338418,NOAA - NWS - Western - ASOS - AST - AO
2338427,NOAA - NWS - Southern - ASOS - MSY - AO
2338435,NOAA - NWS - Southern - ASOS - GDP - AO
2338467,NOAA - NWS - Western - ASOS - Sexton
2338471,NOAA - NWS - Western - ASOS - GTF - AO
2338511,NOAA - NWS - Western - ASOS - PGA - AO
2338513,NOAA - NWS - Western - ASOS - PDT - AO
2338526,NOAA - NWS - Southern - ASOS - TPA - AO
2338536,NOAA - NWS - Southern - ASOS - CQC - AO
2338542,NOAA - NWS - Southern - ASOS - ACT - AO
2338561,NOAA - NWS - Western -OT.ASOS- SNT - AO
2338579,NOAA - NWS - Southern - ASOS - MEI - AO
2338581,NOAA - NWS - Southern - ASOS - MCO - AO
2338587,NOAA - NWS - Eastern - ASOS - PIT - AO
2338617,NOAA - NWS - Southern - ASOS - JAN - AO
2338619,NOAA - NWS - Southern - ASOS - FMN - AO
2338623,NOAA - NWS - Southern - ASOS - CTY - AO
2338625,NOAA - NWS - Southern - ASOS - BRO - AO
2338653,NOAA - NWS - Western - ASOS - MLF - AO
2338657,NOAA - NWS - Western - ASOS - HVR - AO
2338661,NOAA-NWS-WESTERN-WFO-RENO-AO
2338663,NOAA - NWS - Southern - ASOS - VCT - AO
2338675,NOAA - NWS - Southern - ASOS - MIA - AO
2338677,NOAA - NWS - Southern - ASOS - MAF - AO
2338681,NOAA - NWS - Southern - ASOS - DFW - AO
2338719,NOAA - NWS - Southern - ASOS - TVR - AO
2338725,NOAA - NWS - Southern - ASOS - ABQ - AO
2338743,NOAA-NWS-WESTERN-WFO/RADAR-Spokane-NX -AO
2338745,NOAA-NWS-WESTERN-WFO-LAS VEGAS-AO
2338747,NOAA-NWS-WESTERN-WFO-BILLINGS-AL
2338749,NOAA-NWS-WESTERN-WFO-ELKO-AO
2338755,NOAA-NWS-PACIFIC-WSO - POHNPEI - WSO/UAIB-AO
2338757,NOAA-NWS-PACIFIC-WSO-POHNPEI-Residence-AO
2338759,NOAA-NWS-WESTERN-WFO/RADAR-PENDLETON-NX-AO
2338761,NOAA-NWS-WESTERN-WFO-SAN DIEGO-AL
2338763,NOAA-NWS-WESTERN-WFO-MEDFORD-AO
2338767,NOAA-NWS-PACIFIC-WSO-MAJURO-AO
2338769,NOAA-NWS-PACIFIC-WSO - YAP - Ulithi-AO
2338771,NOAA-NWS-WESTERN-WFO-PORTLAND-AL
2338777,NOAA-NWS-WESTERN-WFO-GREAT FALLS-NX -AL
2338779,NOAA-NWS-WESTERN-WFO/RADAR-SAN JOAQUIN VALLEY-NX -AO
2338785,NOAA-NWS-PACIFIC-WSO-PAGO PAGO
2338787,NOAA-NWS-WESTERN-WFO-POCATELLO-AO
2338789,NOAA-NWS-WESTERN-WFO-GLASGOW-NX-AO
2338791,NOAA-NWS-WESTERN-WFO-LOS ANGELES-AO
2338793,NOAA-NWS-PACIFIC-PTWC-OPS-B5-AO
2338797,NOAA-NWS-PACIFIC-DCO-HILO-DOCL
2338800,NOAA-NWS-PACIFIC-NWR - KULANI CONE
2338802,NOAA-NWS-PACIFIC-WSO-KOROR-AO
2338804,NOAA-NWS-PACIFIC-WSO-POHNPEI-Garage-AO
2338806,NOAA-NWS-PACIFIC-WSO - YAP-AO
2338808,NOAA-NWS-Western-ASOS-BLU-AO
2338814,NOAA-NWS-PACIFIC-WFO-GUAM-AO
2338816,NOAA-NWS-WESTERN-WFO-FLAGSTAFF-AO
2338818,NOAA-NWS-Western-UA-Oakland - AO
2338830,NOAA-NWS-PACIFIC-DCO-LIHUE-AO
2338832,NOAA-NWS-PACIFICWSO - YAP - Woleai-AO
2338834,NOAA-NWS-WESTERN-WFO-EUREKA-AO
2338840,NOAA-NWS-PACIFIC-WFO-HONOLULU-AL
2338842,NOAA-NWS-PACIFIC-WSO-CHUUK-AO
2339702,NOAA-NWS-SOUTHERN-WFO BIRMINGHAM-AO
2339704,NOAA-NWS-SOUTHERN-WFO SAN ANGELO-AL
2339706,NOAA - NWS - EASTERN - WFO CLEVELAND - AL
2339708,NOAA-NWS-EASTERN-WFO NEWPORT-AO
2339710,NOAA-NWS-EASTERN-WFO RALEIGH/DURHAM-AL
2339712,NOAA - NWS - EASTERN - WFO WAKEFIELD - AO
2339714,NOAA-NWS-SOUTHERN-WFO JACKSON (MS)-AO
2339716,NOAA-NWS-SOUTHERN-WFO/RFC DALLAS/FT.WORTH-AL
2339718,NOAA-NWS-EASTERN-WFO PORTLAND (ME)-AO
2339720,NOAA-NWS-EASTERN-WFO ROANOKE-AL
2339722,NOAA-NWS-SOUTHERN-WFO AMARILLO-AO
2339724,NOAA-NWS-SOUTHERN-WFO SHREVEPORT-AO
2339726,NOAA-NWS-SOUTHERN-WFO MIAMI-AO
2339730,NOAA-NWS-SOUTHERN-WFO KNOXVILLE/TRI.CITIES- AO
2339732,NOAA-NWS-SOUTHERN-WFO NASHVILLE-NX-AO
2339734,NOAA-NWS-SOUTHERN-WFO/RFC NEW ORLEANS/BATON ROUGE-AO
2339736,NOAA-NWS-EASTERN-WFO BURLINGTON-AL
2339738,NOAA-NWS-EASTERN-WFO CHARLESTON (WV)-AL
2339740,NOAA-NWS-EASTERN-WFO COLUMBIA-AL
2339742,NOAA-NWS-EASTERN-WFO PITTSBURGH-AO
2339744,NOAA-NWS-SOUTHERN-WFO ALBUQUERQUE-AL
2339746,NOAA-NWS-SOUTHERN-WFO KEY WEST-AO
2339748,NOAA-NWS-SOUTHERN-WFO MEMPHIS-AL
2339750,NOAA-NWS-SOUTHERN-WFO MIDLAND/ODESSA-AO
2339752,NOAA-NWS-EASTERN-WFO ALBANY-AL
2339754,NOAA-NWS-EASTERN-WFO BUFFALO-AO
2339756,NOAA-NWS-EASTERN-WFO NEW YORK-AO
2339758,NOAA-NWS-EASTERN-WFO WILMINGTON-AO
2339760,NOAA-NWS-EASTERN-WFO/RFC BOSTON-AL
2339762,NOAA-NWS-SOUTHERN-WFO CORPUS CHRISTI-AO
2339764,NOAA-NWS-SOUTHERN-WFO/RFC ATLANTA-AO
2339766,NOAA - NWS - SOUTHERN - WFO OKLAHOMA CITY - AL
2339768,NOAA-NWS-EASTERN-WFO CARIBOU-AO
2339770,NOAA - NWS - SOUTHERN - WFO TALLAHASSEE - AL
2339772,NOAA-NWS-SOUTHERN-WFO BROWNSVILLE-AO
2339774,NOAA-NWS-SOUTHERN-WFO EL PASO-AO
2339776,NOAA-NWS-SOUTHERN-WFO HOUSTON/GALVESTON-AO
2339778,NOAA-NWS-SOUTHERN-WFO LAKE CHARLES-AO
2339780,NOAA-NWS-SOUTHERN-WFO MOBILE-AO
2339782,NOAA-NWS-SOUTHERN-WFO NEW BRAUNFELS-NX-AO
2339784,NOAA-NWS-SOUTHERN-WFO PUERTO RICO-AO
2339786,NOAA-NWS-SOUTHERN-WFO/RFC TULSA-AL
2339790,NOAA-NWS-SOUTHERN-WFO JACKSONVILLE (FL)-AO
2339792,NOAA-NWS-SOUTHERN-WFO LITTLE ROCK-AL
2339794,NOAA-NWS-SOUTHERN-WFO LUBBOCK-AL
2339796,NOAA-NWS-SOUTHERN-WFO MELBOURNE-AO
2339798,NOAA-NWS-SOUTHERN-WFO TAMPA-AO
2339800,NOAA-NWS-EASTERN-WFO CHARLESTON (SC)-AO
2339802,NOAA-NWS-EASTERN-WFO GREENVILLE/SPARTANBURG-AO
2339804,NOAA-NWS-EASTERN-WFO PHILADELPHIA-AO
2339806,NOAA-NWS-EASTERN-WFO/RFC CENTRAL PA-AL
2339808,NOAA-NWS-EASTERN-WFO/RFC CINCINNATI-AO
2365787,NOAA - OAR - GLERL/Lake Michigan Field Station campus
2397818,NOAA-NWS-ALASKA-HOUSING B-6-COLD BAY-AO
2397820,NOAA - NWS - AL - WSO - KING SALMON - AL
2397822,NOAA - NWS - AL - WSO - KODIAK - AL
2397824,NOAA - NWS - AL - STORAGE BUILDING - AO
2397826,NOAA-NWS-ALASKA-NWS MCGRATH HOUSE 1-AO
2397832,"NOAA - NWS - AL - STORAGE - AK, WAREHOUSE - AO"
2397834,NOAA-NWS-ALASKA-MAINTENANCE SHOP-ANCHORAGE-AO
2397836,NOAA - NWS - AL - WSO - BETHEL - AL
2397838,NOAA - NWS - AL - WSO - KOTZEBUE - AL
2397840,NOAA - NWS - AL - MCGRATH HOUSE #108 - AO
2397842,NOAA-NWS-ALASKA-HOUSING #1- ST. PAUL - AO
2397844,NOAA-NWS-ALASKA-WFO-JUNEAU-AO
2397846,NOAA - NWS - AL - HOUSING DUPLEX B-12 - AO
2397848,NOAA-NWS-ALASKA-TSUNAMI WARNING CENTER-AO
2397850,NOAA-NWS-ALASKA-HOUSING-1209 MINERAL CREEK-AO
2397852,NOAA - NWS - AL - WSO - YAKUTAT (WALDRON) - GL
2397854,NOAA - NWS - AL - WSO - COLD BAY - AL
2397856,NOAA - NWS - AL - HOUSING DUPLEX - 132 BREMNER - AO
2397858,NOAA-NWS-ALASKA-WFO-FAIRBANKS-AL
2397860,NOAA-NWS-ALASKA-WSO-ST. PAUL-AO
2397862,NOAA - NWS - AL - HOUSING DUPLEX - 130 BREMNER - AO
2397864,NOAA-NWS-ALASKA-HOUSING B-2 (BLDG 115)-NOME-AO
2397866,NOAA - NWS - WESTERN - NEXRAD - BUNKER HILL - AO
2397868,NOAA - NWS - WESTERN - NEXRAD - DIXIE MTN - AO
2397870,NOAA - NWS - WESTERN - NEXRAD - PROMONTORY POINT - AO
2397872,NOAA - NWS - WESTERN - NEXRAD - TUCSON ELECTRIC POWER - AO
2397874,"NOAA - NWS - WESTERN - NEXRAD - OPAL MT, RADAR - AO"
2397876,NOAA-NWS-WESTERN-NEXRAD-MT UMUMHUM-AO
2397880,NOAA - NWS - WESTERN - NEXRAD - VIRGINIA PEAK - AO
2397882,NOAA - NWS - WESTERN - NEXRAD - MIRAMAR - AO
2397884,NOAA - NWS - WESTERN - NEXRAD - SHEEP CREEK MTN RADAR - AO
2397886,NOAA - NWS - WESTERN - NEXRAD - OJAI - AO
2397888,NOAA-NWS-WESTERN-NEXRAD-POINT 6-AO
2397892,NOAA - NWS - WESTERN - NEXRAD - BILLINGS - AO
2397894,NOAA - NWS - WESTERN - NEXRAD - SPRINGFIELD - AO
2397896,NOAA - NWS - Western - NEXRAD - Mt Ashland
2397898,NOAA - NWS - WESTERN - NEXRAD - SANTA ANA - AO
2397900,NOAA - NWS - WESTERN - NEXRAD - WILDHORSE CORRAL - AO
2397902,NOAA - NWS - WESTERN - NEXRAD - BLUE RIDGE - AO
2397904,NOAA - NWS - WESTERN - NEXRAD - DAVIS - AO
2397906,NOAA - NWS - WESTERN - NEXRAD - CEDAR CITY/BLOWHARD M - AO
2401802,NOAA - NWS - AL - HOUSING B-5 - AO
2401804,NOAA-NWS-ALASKA-HOUSING B-31-KING SALMON-AO
2401806,NOAA - NWS - AL - FEDERAL BLDG  USCT - GO
2401808,NOAA-NWS-ALASKA-HOUSING B-2-COLD BAY-AO
2401810,NOAA-NWS-ALASKA-HOUSING B-12-KING SALMON-AO
2401812,NOAA-NWS-ALASKA-HOUSING B-37-KING SALMON-AO
2401814,NOAA-NWS-ALASKA-HOUSING #2 - ST. PAUL -AO
2401816,NOAA-NWS-ALASKA-HOUSING #4-ST. PAUL-AO
2401818,NOAA - NWS - AL - WSO - MC GRATH - AL
