Address,City,FILE,PM ID,Property ID,Property Name,Property Type,State,Zip
LAT. 57.15712 N/LONG 170.21252 W,ST. PAUL,LOOKUP,,14000661,CLIMATE REFERENCE NETWORK (CRN),Land,AK,99660
47 36 57.93N 122 29 54.98W,BAINBRIDGE ISLAND,LOOKUP,,14001267,NMFS Pritchard Park Aquatic Lands Right of Entry,Land,WA,98110
1382 Lafayette Street,CAPE MAY,LOOKUP,,NJE00501,NMFS Statistics Office,Building,NJ,08223
4700 Avenue U,GALVESTON,LOOKUP,,TXC00215,Aquacell,Structure,TX,77551
"612 North Sunflower Ave, Suite #12",INDIANOLA,LOOKUP,,MSC04501,NMFS SIP Indianola MS Delta Inspection Office,Building,MS,38751
250 Egan Drive (Juneau Subport),JUNEAU,LOOKUP,,AKW13010,NMFS Flamable Storage Bldg Juneau AK,Building,AK,99801
624 Mill Street,KETCHIKAN,LOOKUP,,AKW22401,NMFS OLE Ketchikan AK,Building,AK,99901
232 S Shore Road Unit A 2nd Floor,MARMORA,LOOKUP,,NJE01101,NMFS South Shore Plaza Marmora NJ,Building,NJ,08223
28 Tarzwell Drive,NARRAGANSETT,LOOKUP,2414714.0,RIE00203,Constant Temp Building,Building,RI,02882
21 PEARL ST,PORTLAND,LOOKUP,,ME4172ZZ,Parking Easement Near Portland,Building,ME,04101
269035 Highway 101 55 feet underwater,SEQUIM,LOOKUP,,14001216,NMFS Aquatic Lands Right of Entry Sequim WA,Land,WA,98382
263 13th Avenue South,ST PETERSBURG,LOOKUP,,14000626,NMFS FL St  Petersburg Bayboro Station,Building,FL,33701
Topa 14,St. Paul,LOOKUP,,14000900,Combine Building,Building,AK,99660
"Topa 24, 2006 Appraisal",St. Paul,LOOKUP,,14000845,USCG Loran Station Land,Land,AK,99660
"Topa 7,  Appraisal 59",St. Paul,LOOKUP,,14000904,Duplex 108 and 109,Building,AK,99660
"Topa 7, Appraisal 51",St. Paul,LOOKUP,,14000905,Head start/Electronics Shop/Navy Transmitter Bldg.,Building,AK,99660
"Topa 7, Appraisal 51",St. Paul,LOOKUP,,14000834,Head Start Building Land,Land,AK,99660
"Topa 7, Appraisal 59",St. Paul,LOOKUP,,14000833,Duplex Land,Land,AK,99660
76 Kamehameha Ave,HILO,LOOKUP,4205970.0,NOAA1,Mokupapapa,Building,HI,96720
522 Caribbean Drive,KEY LARGO,LOOKUP,,FLC09301,NOS Dock Key Largo FL Marine Sanctuary,Structure,FL,33037
95230 Overseas Highway,KEY LARGO,LOOKUP,2406423.0,FLC09401,Florida Keys Nat'l Marine Sanctuary-Upper Region,Building,FL,33037
400 West Ocean View Ave,NORFOLK,LOOKUP,,14001430,NOS Norfolk VA ATON Current Meter Monitoring,Structure,VA,23503
NWS House 1 Lot 4 Blk F Metlakatla AK,ADAK STATION,LOOKUP,,00000110,NWS House 1 Lot 4 Blk F Metlakatla AK,Building,AK,00000
Box 144,ADDISON,LOOKUP,,TXM09401,ASOS Site - HO,Land,TX,75001
10 Organ Pipe Dr.,AJO,LOOKUP,,00000060,AZ Ajo 29 S Ajo AZ,Land,AZ,85321
40335 County Road GG,AKRON,LOOKUP,,00000061,CO Akron 4 E Akron CO,Land,CO,80720
"702 Airport Road, P.O. Box 1310",ARTESIA,LOOKUP,,00000062,NM Artesia 2 WNW Artesia NM,Land,NM,88210
664 E. Broadway,BLOOMFIELD,LOOKUP,,00000063,NM Aztec 43 E,Land,NM,87413
43.22  -90.53,BLUE RIVER,LOOKUP,,WIM01901,# 3 Wind Profiler BLRW3,Land,WI,53518
"HC 60, Box 1",BLUFF,LOOKUP,,00000066,UT Bluff 32 NW,Land,UT,84512
210 East Main Street,BUENA VISTA,LOOKUP,,00000068,CO Buena Vista 2 SSE Buena Vista CO,Land,CO,81211
527 S. Main St.,CAMP VERDE,LOOKUP,,00000069,AZ Camp Verde 3 N Camp Verde AZ,Land,AZ,86322
P.O. Box 180069,CANNONVILLE,LOOKUP,,00000023,UT Tropic 9 SE Cannonville UT,Land,UT,84718
46 Volcano Road,CAPULIN,LOOKUP,,00000093,NM Raton 26 ESE,Land,NM,88414
P.O. Box 247,CARRIZOZO,LOOKUP,,00000036,NM Carrizozo 1 W,Land,NM,88301
1770 W. Kittyhawk Drive,CEDAR CITY,LOOKUP,,00000101,UT St. George 15 NE,Land,UT,84720
249 East County Road 9,CENTER,LOOKUP,,00000041,CO Center 4 SSW Center CO,Land,CO,81125
931 Greebrier Street,CHARLESTON,LOOKUP,,14000717,NWS Tower #3 - WV Highway Dept.,Structure,WV,25301
931 Greenbrier Street,CHARLESTON,LOOKUP,,14000678,NWS Tower #4 - Subleased (Key Comms Transfer),Structure,WV,25301
931 Greenbrier Street,CHARLESTON,LOOKUP,,14000715,NWS Tower #1 - Vacant,Structure,WV,25301
931 Greenbrier Street,CHARLESTON,LOOKUP,,14000716,NWS Tower #2 - NWR from 1985,Structure,WV,25301
George Ryder Road,CHATHAM,LOOKUP,,MAE02901,Asos-Chatham Municipal Airport,Land,MA,02633
500 Sycamore Street,CLOVIS,LOOKUP,,00000047,NM Clovis 7 N,Land,NM,88101
1100 Ruins Drive,COOLIDGE,LOOKUP,,00000072,AZ Coolidge 5 W Coolidge AZ,Land,AZ,85228
455 Emerson Street,CRAIG,LOOKUP,,00000073,CO Craig 30 N Craig CO,Land,CO,81625
76 North 200 West,DELTA,LOOKUP,,00000074,UT Delta 4 NE,Land,UT,84624
P.O Box 167,DULCE,LOOKUP,,00000028,NM Dulce 1 NW,Land,NM,87528
"910 Wansted St, Box 249",EADS,LOOKUP,,00000029,CO Eads 16 ENE Eads CO,Land,CO,81036
P.O. Box 1475,EAGLE,LOOKUP,,00000075,CO Eagle 13 SSE Eagle CO,Land,CO,81631
"44.67, -95.45",ECHO,LOOKUP,,MNM02701,31 Wind Profiler Wood Lake MN WDLM5,Land,MN,56237
44050 Russia Road,ELYRIA,LOOKUP,,OHE04001,Asos-lorain County Reg.airport,Land,OH,44035
6400 N. Highway 89,FLAGSTAFF,LOOKUP,,00000046,AZ Cameron 25 SSE Flagstaff AZ,Land,AZ,86004
P.O. Box 185,FLORISSANT,LOOKUP,,00000104,CO Woodland Park 14 WSW Florissant CO,Land,CO,80816
Colorado National Mnmt,FRUITA,LOOKUP,,00000024,CO Grand Junction 9 W Fruita CO,Land,CO,81521
2550 Eisenhower Blvd Ste 312,FT LAUDERDALE,LOOKUP,,FLM11901,Meteorological Office Port Everglades FL,Building,FL,33316
P.O. Box 374,GILA BEND,LOOKUP,,00000077,AZ Gila Bend 3 ENE Gila Bend AZ,Land,AZ,85337
37.77 -102.17,GRANADA,LOOKUP,,COM11301,#8 Wind Profiler GDAC2,Land,CO,81041
