Address,City,FILE,PM ID,Property ID,Property Name,Property Type,State,Zip
68.48508  -155.75056,NORTH SLOPE,RPMD,,14001547,NESDIS USCRN North Slope AK,Land,AK,0
63.45198  -150.87463,DENALI,RPMD,,14001548,NESDIS USCRN Denali Borough AK,Land,AK,0
14 North Street,BARRE,RPMD,,VT8153ZZ,Blanchard Block,Building,VT,0
No Street,Aguas Buenas,RPMD,,RQM00401,NWR Aguas PR WXJ69,Structure,RQ,602
No Street,Maricao  Maricao,RPMD,,RQM00201,NWR Maricao RQ WXJ-68,Structure,RQ,603
Box 20,Ramey Afb,RPMD,,RQM00701,ASOS Rafael Hernandez Airport Site - HO,Land,RQ,603
259 Blvd Alfonso Valdes,Mayaguez,RPMD,,14001334,NWR Caribbean Tsunami Warning Center,Building,RQ,680
No Street,Ponce,RPMD,,RQM00801,ASOS Mercidita Airport Site - HO,Land,RQ,717
Mount Stewart,Frederiksted,RPMD,,14000434,NWR St Croix Frederiksted  VQ WNG677,Structure,VQ,820
3013 ESTATE GOLDEN ROCK,ST CROIX,RPMD,,VI0008ZZ,ALMERIC CHRISTIAN FB-ST CROIX,Building,VI,820
Box 1134  Christiansted,St Croix,RPMD,,VQM00101,ASOS Alexander Hamilton Arpt Site,Land,VQ,820
Box 1707,Charlotte Amalie,RPMD,,VQM00201,ASOS Cyril E. King Airport Site,Land,VQ,820
Mayagues  Pr Port Autho,San Juan,RPMD,,RQM00901,ASOS Eugenio Maria Hostos Airport site,Land,RQ,907
G.p.o. Box 2829,SAN JUAN,RPMD,,RQM01001,ASOS Luis Munoz Marin Int'l Airport Site,Land,RQ,979
4000 Carr. 190,CAROLINA,RPMD,,RQM01101,"Land WFO UAIB, PR, San Juan Carolina",Land,RQ,979
4000 Carr. 190,CAROLINA,RPMD,,RQM01102,"Space Septic Permit, PR, San Juan WFO",Land,RQ,979
59 Court Street,WESTFIELD,RPMD,,MAE03801,Asos - Barnes Municipal Arport,Land,MA,1085
Tamarack Road,PITTSFIELD,RPMD,,MAE01801,Asos-Pittsfield Municipal Arpt,Land,MA,1201
30 Rockwell Road,LANESBORO,RPMD,,14001616,NWR Mt Greylock (Bascomb Lodge) MA WWF48,Structure,MA,1237
10 Main Street,NORTH ADAMS,RPMD,,MAE02701,Asos - Harriman & West Airport,Land,MA,1247
Orange Municpal Airport,ORANGE,RPMD,,MAE01701,Asos - Orange Municpal Airport,Land,MA,1364
Crawford Street,FITCHBURG,RPMD,,MAE02101,Asos-Fitchburg Municipal Arprt,Land,MA,1420
3375 Airport Drive,WORCESTER,RPMD,,MAE02601,Asos - Worcester Municipal A/p,Land,MA,1602
99 Asnebumskit Road,PAXTON,RPMD,,MAE00801,NWR Worchester Paxton Asnebumskit MA WXL93,Structure,MA,1612
Massport - Civil Air Te,BEDFORD,RPMD,,MAE04901,Asos Hanscom Field  Bedford,Land,MA,1730
492 Sutton Street,NORTH ANDOVER,RPMD,,MAE03101,Asos-Lawwrence Municipal Airprt,Land,MA,1845
10 GEORGE STREET,LOWELL,RPMD,,MA5828ZZ,GATEWAY CENTER,Building,MA,1852
City Hall/cabot Street,BEVERLY,RPMD,,MAE04301,Beverly Municipal Airport-asos,Land,MA,1915
55 Great Republic Drive,GLOUCESTER,RPMD,,14001027,NMFS NERO Bldg Gloucester MA,Building,MA,1930
P.o. Box 766,NORWOOD,RPMD,,MAE03001,Asos-Norwood Memorial Arprt,Land,MA,2062
175 EDWARD FOSTER RD & SUNSET,SCITUATE,RPMD,,14000201,Stellwagen Bank NMS Administrative Bldg,Building,MA,2066
175 Edward Foster Rd. & Sunset,SCITUATE,RPMD,,14000373,USDOC/NOAA Land Stellwagen Bank,Land,MA,2066
175 Edward Foster Rd. & Sunset,SCITUATE,RPMD,,14000374,Stellwagen Bank NMS Annex,Building,MA,2066
175 Edward Foster Rd. & Sunset,SCITUATE,RPMD,,14000375,Boathouse & Pier,Structure,MA,2066
175 Edward Foster Road & Sunset,SCITUATE,RPMD,,14000376,Land for Boathouse/NOAA,Land,MA,2066
175 Edward Foster Road,SCITUATE,RPMD,,14001244,Shed,Building,MA,2066
